,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION
6708,-7377.830699998885,4864852.706600003,0,2,137,2
13014,-7537.2410000003865,4864895.7321000025,1,1,117,2
18564,-7370.127824570984,4864839.087595038,0,2,130,1
3990,-7439.661806236952,4864890.837819621,0,1,230,1
7523,-7314.132500000298,4864816.752599998,2,2,115,2
3150,-7390.435400001706,4864835.897,4,2,146,2
18929,-7338.753299999982,4864825.8571000025,0,2,110,2
1811,-7381.754700001329,4864845.757299997,3,2,102,2
7925,-7390.734700001776,4864835.034999996,2,2,144,2
13244,-7377.778799999504,4864852.8002,2,2,104,2
4342,-7345.42330000177,4864829.557700002,1,2,123,2
11760,-7384.873199999332,4864780.518600002,1,2,204,2
2229,-7390.435400001706,4864835.897,3,2,140,2
10481,-7644.94530000165,4864948.8147,3,0,230,2
16737,-7594.736999999732,4864983.902400002,2,0,111,2
19358,-7526.499313008041,4864893.093802638,3,1,3,1
1757,-7359.331099998206,4864837.273500003,3,2,116,2
19201,-7345.411800000817,4864829.5512000015,0,2,111,2
3193,-7344.968400001526,4864749.5759999985,3,2,241,2
15386,-7449.083129256964,4864874.628452435,0,1,225,1
19774,-7537.092713735999,4864945.534232535,3,1,116,1
18182,-7633.469399999826,4864965.338399999,3,0,129,2
344,-7520.724500000478,4864892.4384,2,1,15,2
1014,-7491.030633945018,4864865.38593483,2,1,2,1
12319,-7390.761199999601,4864835.141000004,4,2,147,2
347,-7555.132300000639,4864885.251500003,2,1,107,2
2845,-7325.23409999907,4864818.356799996,4,2,137,2
1149,-7391.084499999882,4864779.909699999,4,2,218,2
14372,-7363.282299999148,4864844.0207,2,2,107,2
10577,-7321.02769311145,4864812.07116285,3,2,126,1
14224,-7312.662200000137,4864807.624899998,2,2,136,2
4796,-7541.2635000012815,4864920.777800001,3,1,104,2
3041,-7325.23409999907,4864818.356799996,4,2,137,2
14255,-7374.347500000149,4864845.604699999,2,2,118,2
2743,-7345.42330000177,4864829.557700002,4,2,132,2
2387,-7383.265599999577,4864777.661399998,3,2,221,2
7983,-7334.797350611538,4864819.486666389,2,2,129,1
13271,-7332.1088000014415,4864822.170999996,2,2,129,2
13970,-7363.282400000841,4864844.020599999,3,2,108,2
969,-7363.996100001038,4864764.880800001,3,2,228,2
10916,-7603.5650999993095,4864979.790100001,3,0,105,2
17989,-7605.419300001115,4864979.070799999,0,0,115,2
12416,-7502.8467999994755,4864860.1862,1,1,3,2
18720,-7381.679999999702,4864845.767800003,0,2,135,2
117,-7571.071074258536,4864890.459293477,2,1,112,1
18291,-7594.264100000262,4864982.456100002,1,0,108,2
4476,-7325.23409999907,4864818.356799996,1,2,128,2
10217,-7308.779111966491,4864804.134827018,2,2,136,1
6963,-7435.179900001734,4864861.733400002,3,1,201,2
5353,-7466.963700000197,4864820.413199998,2,1,211,2
9200,-7324.486511655153,4864813.990040243,3,2,125,1
8339,-7545.474832799286,4864929.947813578,1,1,106,1
19048,-7320.078899998218,4864794.327799998,0,2,117,2
18496,-7644.94530000165,4864948.8147,3,0,230,2
10415,-7643.117800001055,4864947.830799997,2,0,230,2
14657,-7390.184700001031,4864838.919100001,1,2,143,2
7351,-7636.638000000268,4864899.473099999,3,0,210,2
3270,-7450.481994569302,4864817.724448785,0,1,247,1
19478,-7526.499313008041,4864893.093802638,3,1,3,1
2124,-7367.458799999206,4864841.782799996,3,2,113,2
11865,-7366.449900001286,4864770.2973000035,1,2,224,2
4289,-7432.44810000062,4864883.152999997,1,1,205,2
4712,-7375.98580000177,4864772.226599999,0,2,211,2
6985,-7371.659499999136,4864848.668300003,0,2,139,2
15501,-7435.137299999595,4864861.7101000035,1,1,201,2
5447,-7422.3163000009945,4864895.611699998,3,1,203,2
9975,-7638.2760000005355,4864905.187200001,2,0,211,2
19458,-7485.468600001186,4864874.716200002,3,1,1,2
2295,-7368.386100001633,4864769.406199999,3,2,227,2
1612,-7533.896200001241,4864939.258299999,2,1,105,2
8782,-7533.837600000203,4864939.373000003,1,1,105,2
7260,-7596.2032000012705,4864981.900200002,2,0,107,2
1293,-7511.736699998379,4864841.647200003,2,1,5,2
8600,-7638.2760000005355,4864905.187200001,2,0,211,2
7486,-7571.093199998141,4864871.718699999,1,1,109,2
5677,-7414.873469986021,4864881.276651077,2,1,202,1
12915,-7559.442800000309,4864887.620300001,0,1,114,2
4919,-7381.292899999766,4864778.532499999,0,2,204,2
15533,-7324.080699998885,4864817.717,1,2,129,2
7139,-7638.843199998141,4864999.3684,0,0,127,2
5288,-7408.338870193808,4864811.529825352,0,2,214,1
15142,-7458.381099998952,4864852.149700001,0,1,213,2
19645,-7404.436200000346,4864808.869900003,1,2,215,2
17712,-7592.718600001186,4864984.430299997,0,0,119,2
6235,-7458.082199998199,4864831.376599997,3,1,206,2
17607,-7617.124800000341,4864979.609499998,3,0,114,2
5291,-7381.292899999766,4864778.532499999,0,2,204,2
15524,-7352.520300000906,4864833.494800001,1,2,122,2
19753,-7331.496599998325,4864767.7711,1,2,206,2
8827,-7372.802900001408,4864849.3028,2,2,106,2
7821,-7381.754700001329,4864845.757299997,3,2,102,2
16221,-7635.6803999990225,4864966.449299999,2,0,133,2
17137,-7650.165600001811,4864937.056900002,0,0,236,2
337,-7559.497299998999,4864887.650399998,2,1,112,2
16419,-7635.4525999985635,4864966.3134,1,0,129,2
19389,-7480.315432280301,4864867.4245626405,3,1,5,1
1116,-7410.100400000811,4864794.7425,4,2,203,2
656,-7536.598200000822,4864918.117200002,2,1,101,2
12217,-7353.723400000484,4864834.1625000015,4,2,130,2
19859,-7533.671000000089,4864939.661899999,3,1,116,2
8682,-7682.559099998325,4864932.3116,3,0,221,2
18410,-7641.5731999985865,4865008.853,2,0,124,2
9333,-7345.42330000177,4864829.557700002,2,2,126,2
2512,-7404.464299999178,4864809.152999997,3,2,254,2
5174,-7435.067499998958,4864878.1545,3,1,204,2
8476,-7684.282400000841,4864931.8413999975,0,0,216,2
11583,-7327.929099999367,4864824.406999998,2,2,111,2
14246,-7367.458799999206,4864841.782799996,2,2,120,2
5779,-7425.6438000015905,4864873.1670999965,2,1,201,2
6220,-7427.074479050933,4864903.08147952,2,1,204,1
19236,-7330.786899998784,4864821.437299997,1,2,127,2
6928,-7316.881400000304,4864818.277500004,0,2,101,2
11391,-7642.445999998598,4865016.687799999,3,0,123,2
12977,-7366.242400001734,4864841.108000003,2,2,121,2
19012,-7351.266699999572,4864837.354500003,0,2,140,2
7939,-7372.802900001408,4864849.3028,2,2,106,2
6627,-7360.5392999984315,4864837.943800002,0,2,128,2
6620,-7374.3125,4864845.585299999,0,2,132,2
1995,-7377.096400000155,4864854.1538999975,3,2,105,2
5300,-7343.870905298741,4864745.745015971,0,2,207,1
8829,-7377.296035300941,4864860.055810973,2,2,105,1
15099,-7470.539500001818,4864863.624300003,1,1,26,2
12912,-7390.435400001706,4864835.897,4,2,146,2
9253,-7560.377608112991,4864859.336898372,1,1,108,1
1951,-7352.339699998499,4864837.9498,3,2,110,2
19217,-7303.674135301262,4864812.452149622,0,2,121,1
3444,-7458.04930000007,4864831.358400002,1,1,210,2
9210,-7315.637699998915,4864817.5876,3,2,130,2
13223,-7571.093199998141,4864871.718800001,0,1,112,2
12602,-7533.837600000203,4864939.373000003,1,1,105,2
6047,-7318.694800000639,4864795.302100003,0,2,118,2
16489,-7622.054600000381,4864976.294200003,2,0,139,2
8260,-7383.733100000769,4864842.191699997,3,2,143,2
9222,-7313.731119778006,4864792.063410872,3,2,136,1
12035,-7366.449900001286,4864770.2973000035,1,2,224,2
5306,-7318.694800000639,4864795.302100003,0,2,118,2
16409,-7675.406700000167,4864932.779600002,1,0,226,2
1509,-7496.947206757963,4864853.117668681,2,1,3,1
2041,-7356.457600001247,4864764.753700003,2,2,206,2
18629,-7377.133499998598,4864851.760499999,0,2,138,2
12879,-7330.786899998784,4864821.437299997,4,2,136,2
17279,-7609.2503999993205,4864978.160700001,2,0,104,2
7993,-7363.289747696371,4864835.294131495,2,2,122,1
219,-7541.264299999922,4864920.7782000005,2,1,106,2
3503,-7324.080699998885,4864817.717,1,2,129,2
3817,-7468.870245195925,4864827.937682956,0,1,248,1
11027,-7330.597199998796,4864821.779299997,3,2,123,2
2797,-7349.279599998145,4864758.806000002,3,2,237,2
9047,-7646.286299999803,4864932.3486,2,0,234,2
2872,-7385.372800000012,4864776.740699999,3,2,220,2
1314,-7541.264299999922,4864920.7782000005,2,1,106,2
17307,-7637.842599999159,4865000.627700001,2,0,129,2
12153,-7390.435400001706,4864835.897,4,2,146,2
8321,-7516.413621235639,4864937.650390036,1,1,102,1
18282,-7637.256999999285,4864949.814300002,0,0,102,2
16023,-7684.298099998385,4864931.813000001,3,0,222,2
17408,-7636.960200000554,4864905.659699999,0,0,227,2
11243,-7644.034899998456,4864930.066799998,1,0,201,2
16862,-7650.165600001811,4864937.056900002,0,0,236,2
10501,-7656.762800000608,4864938.025799997,3,0,236,2
12321,-7489.9197999984035,4864901.8900000015,0,1,6,2
14514,-7374.897300001234,4864855.5392,1,2,105,2
18037,-7639.690999999642,4864914.912799999,1,0,205,2
11952,-7388.524687383324,4864770.582154624,1,2,204,1
10900,-7689.513399999589,4864928.736100003,2,0,225,2
2799,-7337.394799999893,4864763.226999998,3,2,245,2
8405,-7317.526099998503,4864794.559299998,2,2,140,2
1761,-7345.42330000177,4864829.557700002,3,2,119,2
8334,-7541.168800000101,4864920.726800002,1,1,106,2
15382,-7426.483600001782,4864899.974799998,0,1,238,2
12135,-7385.526399999857,4864838.958999999,4,2,101,2
5493,-7405.681699998677,4864801.905699998,0,2,201,2
12062,-7330.786899998784,4864821.437299997,1,2,127,2
2666,-7413.921399999409,4864785.033399999,3,2,206,2
